comments,date_string,datetime,engagement_score,favorites,name,party,retweets,stream_id,text,tweet_url,twitter_username,unix_time
529,2:21 PM - 19 Feb 2019,2019-02-19 14:21:00,2215.484798605429,8670,Bernie Sanders,Independent,2371,1097984552092553216,Me postulo para la presidencia. Les pido que se unan a mí hoy como parte de una campaña sin precedentes e histórica que comenzará con al menos 1 millón de personas por todos los puntos del país. Di que estás conmigo? https://secure.actblue.com/donate/website_es?refcode=XYZ …,https://twitter.com/BernieSanders/status/1097984552092553216,BernieSanders,1550614891
856,1:26 PM - 19 Feb 2019,2019-02-19 13:26:00,3299.938251675939,13832,Bernie Sanders,Independent,3035,1097970710444720128,"More than 100,000 people have donated to our campaign since we launched this morning. Brothers and sisters, if we stand together, there is no limit to what we can accomplish. Join the movement here: https://bsanders.us/twdonate ",https://twitter.com/BernieSanders/status/1097970710444720128,BernieSanders,1550611591
299,11:28 AM - 19 Feb 2019,2019-02-19 11:28:00,1445.037376459246,7940,Bernie Sanders,Independent,1271,1097941110226333697,"Thank you @SenatorLeahy and @PeterWelch for your support. What I promise to do, as I go around the country, is carry the values that all of us in Vermont are proud of — a belief in justice, community and grassroots politics.",https://twitter.com/BernieSanders/status/1097941110226333697,BernieSanders,1550604534
1947,11:04 AM - 19 Feb 2019,2019-02-19 11:04:00,9062.493856017645,41852,Bernie Sanders,Independent,9134,1097935074421604353,"I’m running for president so that, together, we can create a nation that leads the world in the struggle for economic, racial, social and environmental justice.",https://twitter.com/BernieSanders/status/1097935074421604353,BernieSanders,1550603095
606,9:25 AM - 19 Feb 2019,2019-02-19 09:25:00,2618.8715705612676,11637,Bernie Sanders,Independent,2547,1097909932727377921,"Three years ago, we were told ideas like Medicare for all, tuition-free college and a $15 minimum wage were ""radical"" and ""extreme."" These policies and more are now supported by a majority of Americans. Please chip in to help us complete that revolution.",https://twitter.com/BernieSanders/status/1097909932727377921,BernieSanders,1550597100
1159,8:16 AM - 19 Feb 2019,2019-02-19 08:16:00,4139.179949012906,17058,Bernie Sanders,Independent,3587,1097892724810960898,Have you joined the team yet? Add your name to say you're in: https://act.berniesanders.com/signup/social-launch?source=tw190219-bball …,https://twitter.com/BernieSanders/status/1097892724810960898,BernieSanders,1550592998
899,6:30 AM - 19 Feb 2019,2019-02-19 06:30:00,3324.726172667185,12823,Bernie Sanders,Independent,3188,1097866062811549698,The only way we will win this election and create a government and economy that work for all is with a grassroots movement—the likes of which has never been seen in American history. Join our campaign on Day One:,https://twitter.com/BernieSanders/status/1097866062811549698,BernieSanders,1550586641
1056,4:29 AM - 19 Feb 2019,2019-02-19 04:29:00,3322.7578932449974,12483,Bernie Sanders,Independent,2783,1097835585232879621,"Powerful special interests may have the money, but we have the people. Supporters from all 50 states have donated to our unprecedented grassroots campaign. Say you're in: https://bsanders.us/twdonate ",https://twitter.com/BernieSanders/status/1097835585232879621,BernieSanders,1550579374
27075,4:02 AM - 19 Feb 2019,2019-02-19 04:02:00,91744.50755877404,271279,Bernie Sanders,Independent,105137,1097828878310096901,I'm running for president. I am asking you to join me today as part of an unprecedented and historic grassroots campaign that will begin with at least 1 million people from across the country. Say you're in: https://bsanders.us/tw ,https://twitter.com/BernieSanders/status/1097828878310096901,BernieSanders,1550577775
7837,11:57 AM - 7 May 2019,2019-05-07 11:57:00,19851.31573925055,70900,Donald Trump,Republican,14079,1125837047766376448,Congratulations @TigerWoods - you are truly one of a kind!,https://twitter.com/realDonaldTrump/status/1125837047766376448,realDonaldTrump,1557255443
